OrderID,CustomerID,ProductID,RegionID,OrderDate,Quantity,UnitPrice,Discount,Channel,OrderStatus,Revenue,Profit
O0724,C020,P001,R02,2023-01-01,8,89999,0.04,Retail Store,Cancelled,691192.32,215032.32
O0127,C026,P033,R07,2023-01-02,4,2999,0.06,Direct Sales,Cancelled,11276.24,5636.24
O0115,C005,P011,R01,2023-01-03,10,7999,0.07,Direct Sales,Pending,74390.7,32540.7
O0552,C031,P025,R09,2023-01-05,6,7999,0.08,Online,Delivered,44154.48,19314.48
O0370,C007,P006,R02,2023-01-06,5,1499,0.12,Wholesale,Delivered,6595.6,3075.6
O0625,C008,P035,R02,2023-01-07,10,1799,0.1,Online,Delivered,16191.0,8091.0
O0047,C020,P034,R02,2023-01-09,2,799,0.15,Wholesale,Delivered,1358.3,678.3
O0151,C026,P018,R07,2023-01-09,8,2499,0.1,Online,Delivered,17992.8,9352.8
O0455,C006,P030,R01,2023-01-09,10,2199,0.1,Wholesale,Delivered,19791.0,8991.0
O0044,C021,P005,R05,2023-01-10,10,24999,0.08,Direct Sales,Delivered,229990.8,101190.8
O0405,C004,P023,R03,2023-01-10,7,329,0.05,Direct Sales,Cancelled,2187.85,990.85
O0705,C010,P031,R02,2023-01-10,3,699,0.05,Retail Store,Returned,1992.15,994.65
O0742,C026,P016,R07,2023-01-10,8,2199,0.08,Online,Returned,16184.64,8088.64
O0679,C032,P029,R10,2023-01-11,9,2599,0.07,Retail Store,Delivered,21753.63,10035.63
O0373,C021,P025,R05,2023-01-13,2,7999,0.11,Wholesale,Returned,14238.22,6228.22
O0437,C005,P034,R01,2023-01-13,3,799,0.15,Wholesale,Pending,2037.45,1017.45
O0903,C001,P005,R03,2023-01-13,2,24999,0.05,Direct Sales,Returned,47498.1,20898.1
O0990,C025,P024,R05,2023-01-13,5,175,0.11,Wholesale,Pending,778.75,378.25
O0785,C010,P019,R02,2023-01-15,2,599,0.13,Wholesale,Delivered,1042.26,433.26
O0035,C004,P035,R03,2023-01-16,4,1799,0.11,Online,Delivered,6404.44,3200.44
O0741,C028,P021,R08,2023-01-16,10,149,0.07,Retail Store,Delivered,1385.7,641.7
O0346,C015,P010,R04,2023-01-17,10,65999,0.12,Wholesale,Cancelled,580791.2,193591.2
O0353,C031,P032,R09,2023-01-17,7,1599,0.08,Online,Delivered,10297.56,5145.56
O0291,C008,P013,R02,2023-01-20,3,3499,0.06,Direct Sales,Pending,9867.18,4791.18
O0913,C017,P029,R03,2023-01-20,1,2599,0.05,Direct Sales,Delivered,2469.05,1139.05
O0089,C016,P013,R02,2023-01-21,8,3499,0.03,Retail Store,Returned,27152.24,13184.24
O0709,C017,P023,R03,2023-01-21,10,329,0.05,Direct Sales,Delivered,3125.5,1415.5
O0322,C030,P020,R09,2023-01-23,1,299,0.06,Direct Sales,Returned,281.06,130.66
O0786,C029,P031,R08,2023-01-24,9,699,0.1,Wholesale,Delivered,5661.9,2826.9
O0852,C034,P020,R01,2023-01-24,4,299,0.13,Wholesale,Delivered,1040.52,483.72
O0159,C015,P031,R04,2023-01-26,4,699,0.14,Wholesale,Returned,2404.56,1200.56
O0985,C008,P020,R02,2023-01-26,4,299,0.08,Direct Sales,Pending,1100.32,511.52
O0121,C021,P017,R05,2023-01-27,10,5999,0.06,Online,Cancelled,56390.6,26310.6
O0372,C027,P007,R07,2023-01-27,2,89999,0.07,Online,Cancelled,167398.14,65098.14
O0060,C035,P022,R03,2023-01-29,5,110,0.1,Online,Delivered,495.0,225.0
O0531,C006,P019,R01,2023-01-29,10,599,0.04,Direct Sales,Delivered,5750.4,2390.4
O0098,C025,P022,R05,2023-01-30,3,110,0.09,Direct Sales,Pending,300.3,136.5
O0186,C002,P018,R01,2023-01-30,5,2499,0.04,Retail Store,Delivered,11995.2,6235.2
O0396,C028,P026,R08,2023-01-30,7,3299,0.05,Retail Store,Pending,21938.35,9968.35
O0366,C026,P021,R07,2023-01-31,8,149,0.14,Wholesale,Pending,1025.12,474.72
O0250,C033,P011,R10,2023-02-01,8,7999,0.07,Retail Store,Delivered,59512.56,26032.56
O0844,C010,P018,R02,2023-02-01,9,2499,0.15,Wholesale,Delivered,19117.35,9937.35
O0411,C016,P020,R02,2023-02-03,2,299,0.06,Direct Sales,Pending,562.12,261.32
O0720,C011,P002,R03,2023-02-05,6,119999,0.14,Wholesale,Pending,619194.84,180594.84
O0052,C010,P035,R02,2023-02-06,3,1799,0.12,Wholesale,Pending,4749.36,2373.36
O0584,C026,P027,R07,2023-02-06,10,43999,0.1,Online,Cancelled,395991.0,143991.0
O0921,C013,P009,R02,2023-02-06,10,52999,0.02,Retail Store,Delivered,519390.2,146990.2
O0925,C015,P005,R04,2023-02-07,1,24999,0.05,Retail Store,Pending,23749.05,10449.05
O0207,C030,P029,R09,2023-02-08,5,2599,0.07,Online,Delivered,12085.35,5575.35
O0305,C015,P035,R04,2023-02-08,3,1799,0.05,Retail Store,Delivered,5127.15,2562.15
